Name,Country,Varietal,Wine type,Rating,NumberOfRatings,Year,Price$
Masciarelli Montepulciano d'Abruzzo 2019,Italy,Montepulciano,Red Wine,3.6,72, 2019,12.99
Massolino Langhe Nebbiolo 2020,Italy,Nebbiolo,Red Wine,0.0,0, 2020,33.99
Poggio Landi Brunello di Montalcino 2016,Italy,Sangiovese,Red Wine,4.8,12, 2016,74.99
Ornellaia (375ML half-bottle) 2019,Italy,Bordeaux Red Blends,Red Wine,0.0,0, 2019,149.99
Zonin Prosecco,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,3.8,545,Not available,12.99
Tenuta San Guido Guidalberto 2020,Italy,Bordeaux Red Blends,Red Wine,0.0,0, 2020,58.99
Castello di Bossi Chianti Classico Riserva Berardo 2016,Italy,Sangiovese,Red Wine,4.2,84, 2016,29.99
Adami Bosco di Gica Prosecco Superiore,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,4.4,144,Not available,19.99
Alois Lageder Porer Pinot Grigio 2020,Italy,Pinot Gris/Grigio,White Wine,3.2,6, 2020,30.99
Marchesi Incisa della Rocchetta Felice Moscato d'Asti 2021,Italy,Muscat,White Wine,0.0,0, 2021,19.99
Il Marroneto Brunello Madonna delle Grazie 2017,Italy,Sangiovese,Red Wine,0.0,0, 2017,379.99
Villa Sparina Gavi di Gavi 2021,Italy,Cortese,White Wine,4.4,8, 2021,18.99
Tenuta Sant'Antonio Campo dei Gigli Amarone della Valpolicella 2016,Italy,Other Red Blends,Red Wine,0.0,0, 2016,73.99
Zenato Valpolicella Superiore Ripassa 2018,Italy,Other Red Blends,Red Wine,4.3,18, 2018,26.99
Antinori Villa Antinori Chianti Classico Riserva 2018,Italy,Sangiovese,Red Wine,4.1,42, 2018,29.99
G.D. Vajra Barolo Albe 2018,Italy,Nebbiolo,Red Wine,4.2,9, 2018,42.98
Massolino Barbera d'Alba 2020,Italy,Barbera,Red Wine,4.7,6, 2020,29.99
Pasqua Amarone della Valpolicella 2017,Italy,Other Red Blends,Red Wine,0.0,0, 2017,52.99
Pio Cesare Barolo 2018,Italy,Nebbiolo,Red Wine,0.0,0, 2018,77.99
Prunotto Barbaresco 2018,Italy,Nebbiolo,Red Wine,4.0,14, 2018,42.99
Le Ragnaie Brunello di Montalcino 2017,Italy,Sangiovese,Red Wine,4.4,5, 2017,74.99
Fontanafredda Silver Label Barolo 2016,Italy,Nebbiolo,Red Wine,0.0,0, 2016,44.99
Avignonesi Grifi 2018,Italy,Tuscan Blends,Red Wine,3.8,10, 2018,39.99
Bibi Graetz Colore 20th Anniversary Label 2019,Italy,Tuscan Blends,Red Wine,5.0,22, 2019,249.99
Elena Walch Beyond The Clouds White Blend 2020,Italy,Other White Blends,White Wine,0.0,0, 2020,85.99
Vigne Surrau Limizzani Vermentino di Gallura 2021,Italy,Vermentino,White Wine,3.3,6, 2021,16.99
Travaglini Gattinara 2018,Italy,Nebbiolo,Red Wine,4.2,19, 2018,39.99
Kris Pinot Grigio 2020,Italy,Pinot Gris/Grigio,White Wine,4.0,53, 2020,11.99
Domenico Clerico Barolo Aeroplanservaj 2017,Italy,Nebbiolo,Red Wine,0.0,0, 2017,139.99
E. Pira e Figli Barolo Cannubi 2018,Italy,Nebbiolo,Red Wine,0.0,0, 2018,169.99
Argiolas Costera 2020,Italy,Grenache,Red Wine,4.0,12, 2020,16.99
Caparzo Sangiovese 2019,Italy,Sangiovese,Red Wine,3.8,159, 2019,11.99
Brancaia Ilatraia 2019,Italy,Bordeaux Red Blends,Red Wine,0.0,0, 2019,66.99
La Lecciaia Brunello di Montalcino 2016,Italy,Sangiovese,Red Wine,4.9,26, 2016,41.99
Altesino Montosoli Brunello di Montalcino (1.5 Liter Magnum) 2016,Italy,Sangiovese,Red Wine,0.0,0, 2016,279.99
La Spinetta Toscana Vermentino 2021,Italy,Vermentino,White Wine,4.4,18, 2021,22.99
Cleto Chiarli Lambrusco di Sorbara Vecchia Modena 2021,Italy,Red Sparkling Wine,Sparkling & Champagne,4.5,7, 2021,18.99
Castello di Neive Barbaresco Santo Stefano 2019,Italy,Nebbiolo,Red Wine,0.0,0, 2019,63.99
Casanova di Neri Brunello di Montalcino White Label 2017,Italy,Sangiovese,Red Wine,0.0,0, 2017,77.99
Mionetto Prosecco Brut,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,4.1,494,Not available,13.99
Vietti Barbera d'Asti Tre Vigne 2020,Italy,Barbera,Red Wine,4.1,32, 2020,17.99
Santadi Cannonau di Sardegna Noras 2019,Italy,Grenache,Red Wine,3.9,7, 2019,23.99
Bruno Giacosa Barbaresco Rabaja 2017,Italy,Nebbiolo,Red Wine,5.0,23, 2017,269.99
Salcheto Vino Nobile di Montepulciano Riserva 2016,Italy,Sangiovese,Red Wine,3.8,21, 2016,38.99
Azelia Barolo 2017,Italy,Nebbiolo,Red Wine,4.1,23, 2017,43.99
Li Veli Orion Primitivo 2020,Italy,Primitivo,Red Wine,3.6,21, 2020,16.99
Paitin Barbaresco Sori Paitin Serraboella 2018,Italy,Nebbiolo,Red Wine,0.0,0, 2018,66.99
Bisol Crede Prosecco Superiore 2020,Italy,Vintage Sparkling Wine,Sparkling & Champagne,4.2,16, 2020,23.99
Gaja Sori San Lorenzo (1.5 Liter Magnum) 2009,Italy,Nebbiolo,Red Wine,0.0,0, 2009,789.97
Avignonesi Vino Nobile di Montepulciano 2017,Italy,Sangiovese,Red Wine,3.9,32, 2017,24.99
Casanova di Neri Brunello di Montalcino Tenuta Nuova 2017,Italy,Sangiovese,Red Wine,0.0,0, 2017,139.99
Enrico Serafino Gavi 2021,Italy,Cortese,White Wine,0.0,0, 2021,19.99
Arnaldo Caprai Montefalco Rosso 2019,Italy,Other Red Blends,Red Wine,0.0,0, 2019,21.99
Ca' del Bosco Franciacorta Cuvee Prestige Edizione 44,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,0.0,0,ne 44,39.99
Contadi Castaldi Franciacorta Rose,Italy,Sparkling Rosé,Sparkling & Champagne,4.5,67,Not available,24.99
Poggio di Sotto Brunello di Montalcino 2017,Italy,Sangiovese,Red Wine,0.0,0, 2017,269.99
Frescobaldi Castelgiocondo Brunello di Montalcino Ripe di Convento Riserva 2013,Italy,Sangiovese,Red Wine,4.9,6, 2013,149.99
Gaja Conteisa 2017,Italy,Nebbiolo,Red Wine,0.0,0, 2017,269.99
Tenuta Guado al Tasso Vermentino 2021,Italy,Vermentino,White Wine,4.6,8, 2021,24.98
Feudi di San Gregorio Aglianico Rubrato 2017,Italy,Aglianico,Red Wine,3.7,300, 2017,19.99
Massolino Vigna Parafada Barolo 2017,Italy,Nebbiolo,Red Wine,0.0,0, 2017,99.99
Tolaini Legit Cabernet Sauvignon 2016,Italy,Cabernet Sauvignon,Red Wine,3.9,64, 2016,44.99
Allegrini Amarone 2018,Italy,Other Red Blends,Red Wine,0.0,0, 2018,82.99
Castello di Bossi Chianti Classico 2019,Italy,Sangiovese,Red Wine,3.6,10, 2019,20.99
La Gioiosa Prosecco Rose Millesimato 2020,Italy,Sparkling Rosé,Sparkling & Champagne,3.7,29, 2020,14.99
Gaja Costa Russi (1.5 Liter Magnum) 2008,Italy,Nebbiolo,Red Wine,0.0,0, 2008,739.97
San Filippo Brunello di Montalcino Le Lucere Riserva 2016,Italy,Sangiovese,Red Wine,0.0,0, 2016,249.99
